title,link,abstract,authors,created
Hypothesis-Driven Virtual Experiments: A Neuroinformatics Primer,/article/10.1134/S1995080223010250,"The paper demonstrates a new way of decomposing complex multidisciplinary problems using a platform for supporting the execution hypothesis-driven virtual experiments. The approach is based on combining methods and tools from several domains to support hypothesis-driven, data-intensive research. A primer shows all steps from virtual experiment life cycle from its specification till execution. Platform enables to store virtual experiments, its metadata and other core artifacts, analyze dependencies between hypotheses/models, abandon certain workflow routes, plan experiment execution, compare models, range hypotheses and generate models from data if required. Demonstration is carried out with the problem of identifying differences in functional dependencies for men and women and for young and middle-aged adults which comes from neuroinformatics domain.",D. Y. Kovalev,2023-01-01
"Farewell, Neuroinformatics!",/article/10.1007/s12021-021-09552-5,"It is with a bittersweet feeling that we pen one last Editorial after almost exactly two decades since founding this journal. The original publisher of Neuroinformatics was Humana Press, a small (for today’s standards, at least) and back then independent publishing company best known at that time for its Methods in Molecular Biology book series. Humana’s president, Thomas Lanigan Sr., together with his energetic aid Elyse O’Grady, had a distinct knack for predicting the emergence of new fields in biomedical research and ran a professional yet personable, family-style operation (the first marketing director of Neuroinformatics was Lanigan’s son, Tom Jr.). We finalized the aims of the journal in the fall of 2001, endeavoring to provide a forum that would emphasize data analysis, integration, engineering, and sharing in all areas of neuroscience research.Footnote 1 Submissions began to arrive in April of the following year, and the inaugural issue appeared at the 2002 Society for Neuroscience Meeting. Since then, we action edited over 1500 initial manuscripts and eventually accepted for publication approximately half of them, the vast majority describing original research.","Giorgio A. Ascoli, David N. Kennedy, Erik De Schutter",2021-10-29
A Standards Organization for Open and FAIR Neuroscience: the International Neuroinformatics Coordinating Facility,/article/10.1007/s12021-020-09509-0,"There is great need for coordination around standards and best practices in neuroscience to support efforts to make neuroscience a data-centric discipline. Major brain initiatives launched around the world are poised to generate huge stores of neuroscience data. At the same time, neuroscience, like many domains in biomedicine, is confronting the issues of transparency, rigor, and reproducibility. Widely used, validated standards and best practices are key to addressing the challenges in both big and small data science, as they are essential for integrating diverse data and for developing a robust, effective, and sustainable infrastructure to support open and reproducible neuroscience. However, developing community standards and gaining their adoption is difficult. The current landscape is characterized both by a lack of robust, validated standards and a plethora of overlapping, underdeveloped, untested and underutilized standards and best practices. The International Neuroinformatics Coordinating Facility (INCF), an independent organization dedicated to promoting data sharing through the coordination of infrastructure and standards, has recently implemented a formal procedure for evaluating and endorsing community standards and best practices in support of the FAIR principles. By formally serving as a standards organization dedicated to open and FAIR neuroscience, INCF helps evaluate, promulgate, and coordinate standards and best practices across neuroscience. Here, we provide an overview of the process and discuss how neuroscience can benefit from having a dedicated standards body.","Mathew Birdsall Abrams, Jan G. Bjaalie, ... Maryann E. Martone",2021-01-27
Neuroinformatics in the Time of Coronavirus,/article/10.1007/s12021-020-09478-4,"Some years ago, I received an inquiry from an international PhD student from the lab of a known electrophysiologist.Footnote 1 She had secured a fellowship that allowed her to spend time in another lab during her doctoral training and she wanted to come to my lab to learn the neuroinformatics trade. I interviewed her in person at the Society for Neuroscience meeting a few weeks later and asked her why, after investing half a decade mastering advanced skills in patch clamp and intraneuronal recordings, she wanted to jump into neuroinformatics. She was adamant in saying that she saw a shrinking market for experimental research, at least in relative terms, and a growing role for data science. She also thought it would become increasingly difficult, on economic, social, and personnel counts, to eventually create and maintain a wet lab centered on animal research, and to keep it productive. Just as many discoveries awaited, she felt, in big data, informatics, computer analytics, and modeling – and that sounded to her like a wiser and more appealing career prospect.",Giorgio A. Ascoli,2020-06-29
Correction to: A Standards Organization for Open and FAIR Neuroscience: the International Neuroinformatics Coordinating Facility,/article/10.1007/s12021-021-09522-x,Correction to: Neuroinformatics.,"Mathew Birdsall Abrams, Jan G. Bjaalie, ... Maryann E. Martone",2021-04-13
Assessing the ethical and social concerns of artificial intelligence in neuroinformatics research: an empirical test of the European Union Assessment List for Trustworthy AI (ALTAI),/article/10.1007/s43681-022-00201-4,"Ethical and social concerns are a key obstacle to the adoption of artificial intelligence (AI) in the life sciences and beyond. The discussion of these issues has intensified in recent years and led to a number of approaches, tools and initiatives. Key amongst them is the idea of ex-ante impact assessments that aim to identify issues at the early stages of development. One prominent example of such ex-ante impact assessment is the European Union's (EU) Assessment list for Trustworthy AI (ALTAI). This article uses the findings of a large-scale application of the ALTAI to a large neuro-informatics project as an exemplar to demonstrate the effectiveness and limitations of the ALTAI in practice. The article shows that ex-ante impact assessment has the potential to help identify and address ethical and social issues. However, they need to be understood as part of a broader socio-technical ecosystem of AI. For ALTAI and related approaches to be useful in bio-medical research, they should be interpreted from a systems theory perspective which allows for their integration into the rich set of tools, legislation and approaches. The paper argues that ex-ante impact assessments have the best chance of being successful if seen applied in conjunction with other approaches in the context of the overall AI ecosystem.","Bernd Carsten Stahl, Tonii Leach",2022-09-19
Gradients of Brain Organization: Smooth Sailing from Methods Development to User Community,/article/10.1007/s12021-024-09660-y,"Multimodal neuroimaging grants a powerful in vivo window into the structure and function of the human brain. Recent methodological and conceptual advances have enabled investigations of the interplay between large-scale spatial trends – or gradients – in brain structure and function, offering a framework to unify principles of brain organization across multiple scales. Strong community enthusiasm for these techniques has been instrumental in their widespread adoption and implementation to answer key questions in neuroscience. Following a brief review of current literature on this framework, this perspective paper will highlight how pragmatic steps aiming to make gradient methods more accessible to the community propelled these techniques to the forefront of neuroscientific inquiry. More specifically, we will emphasize how interest for gradient methods was catalyzed by data sharing, open-source software development, as well as the organization of dedicated workshops led by a diverse team of early career researchers. To this end, we argue that the growing excitement for brain gradients is the result of coordinated and consistent efforts to build an inclusive community and can serve as a case in point for future innovations and conceptual advances in neuroinformatics. We close this perspective paper by discussing challenges for the continuous refinement of neuroscientific theory, methodological innovation, and real-world translation to maintain our collective progress towards integrated models of brain organization.","Jessica Royer, Casey Paquola, ... Boris C. Bernhardt",2024-04-03
Computational neuroscience and neuroinformatics: Recent progress and resources,/article/10.1007/s12038-018-9813-y,"The human brain and its temporal behavior correlated with development, structure, and function is a complex natural system even for its own kind. Coding and automation are necessary for modeling, analyzing and understanding the 86.1 ± 8.1 billion neurons, an almost equal number of non-neuronal glial cells, and the neuronal networks of the human brain comprising about 100 trillion connections. ‘Computational neuroscience’ which is heavily dependent on biology, physics, mathematics and computation addresses such problems while the archival, retrieval and merging of the huge amount of generated data in the form of clinical records, scientific literature, and specialized databases are carried out by ‘neuroinformatics’ approaches. Neuroinformatics is thus an interface between computer science and experimental neuroscience. This article provides an introduction to computational neuroscience and neuroinformatics fields along with their state-of-the-art tools, software, and resources. Furthermore, it describes a few innovative applications of these fields in predicting and detecting brain network organization, complex brain disorder diagnosis, large-scale 3D simulation of the brain, brain–computer, and brain-to-brain interfaces. It provides an integrated overview of the fields in a non-technical way, appropriate for broad general readership. Moreover, the article is an updated unified resource of the existing knowledge and sources for researchers stepping into these fields.","Losiana Nayak, Abhijit Dasgupta, ... Rajat K De",2018-10-27
Is Neuroscience FAIR? A Call for Collaborative Standardisation of Neuroscience Data,/article/10.1007/s12021-021-09557-0,"In this perspective article, we consider the critical issue of data and other research object standardisation and, specifically, how international collaboration, and organizations such as the International Neuroinformatics Coordinating Facility (INCF) can encourage that emerging neuroscience data be Findable, Accessible, Interoperable, and Reusable (FAIR). As neuroscientists engaged in the sharing and integration of multi-modal and multiscale data, we see the current insufficiency of standards as a major impediment in the Interoperability and Reusability of research results. We call for increased international collaborative standardisation of neuroscience data to foster integration and efficient reuse of research objects.","Jean-Baptiste Poline, David N. Kennedy, ... Maryann E. Martone",2022-01-21
A comparison of neuroelectrophysiology databases,/article/10.1038/s41597-023-02614-0,"As data sharing has become more prevalent, three pillars - archives, standards, and analysis tools - have emerged as critical components in facilitating effective data sharing and collaboration. This paper compares four freely available intracranial neuroelectrophysiology data repositories: Data Archive for the BRAIN Initiative (DABI), Distributed Archives for Neurophysiology Data Integration (DANDI), OpenNeuro, and Brain-CODE. The aim of this review is to describe archives that provide researchers with tools to store, share, and reanalyze both human and non-human neurophysiology data based on criteria that are of interest to the neuroscientific community. The Brain Imaging Data Structure (BIDS) and Neurodata Without Borders (NWB) are utilized by these archives to make data more accessible to researchers by implementing a common standard. As the necessity for integrating large-scale analysis into data repository platforms continues to grow within the neuroscientific community, this article will highlight the various analytical and customizable tools developed within the chosen archives that may advance the field of neuroinformatics.","Priyanka Subash, Alex Gray, ... Dominique Duncan",2023-10-19
